Repository,Discipline,Nb. of entries,Provides DOI,Online since,Link
CLARIN,Linguistics,929991,No,2012,https://www.clarin.eu/
Dryad,All,69296,Yes,2008,https://datadryad.org/
Figshare,All,82899555,Yes,2012,https://figshare.com/
HAL,All,6031035,Yes,2001,https://hal.science/
Harvard Dataverse,All,303808,Yes,2006,https://dataverse.harvard.edu/
IRIS,Linguistics,3730,No,2011,https://www.iris-database.org/
OSF,All,153663,No,2011,https://osf.io/
"Tromsø Repository of Language and Linguistics, TROLLing",Linguistics,233,Yes,2014,https://site.uit.no/trolling/
Vivil,Clinical research,8345,Yes,2017,https://vivli.org/
Zenodo,All,6067240,Yes,2013,https://zenodo.org/
